2026-01-30 21:51:05,866 - bridge - INFO - Starting Bridge on 192.168.1.18
2026-01-30 21:51:05,870 - bridge.core.speaker_manager - INFO - Connected to speaker at 192.168.1.102
2026-01-30 21:51:05,871 - bridge.core.speaker_manager - INFO - Connected to speaker at 192.168.1.101
2026-01-30 21:51:05,873 - bridge.core.dlna_server - INFO - DLNA Server started on port 32488
2026-01-30 21:51:05,874 - bridge.core.ssdp - INFO - SSDP bound to interface 192.168.1.18
2026-01-30 21:51:05,874 - bridge.core.ssdp - INFO - SSDP Responder started on 239.255.255.250:1900
2026-01-30 21:51:05,874 - bridge - INFO - Bridge is fully operational
2026-01-30 21:51:05,875 - bridge.core.ssdp - DEBUG - Sending periodic SSDP NOTIFY
2026-01-30 21:51:06,811 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('192.168.1.18', 48568)
2026-01-30 21:51:06,812 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('172.17.0.1', 39046)
2026-01-30 21:51:06,814 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('172.18.0.1', 35152)
2026-01-30 21:51:06,814 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('172.19.0.1', 59318)
2026-01-30 21:51:10,288 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('192.168.1.18', 47629)
2026-01-30 21:51:10,288 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('192.168.1.18', 47629)
2026-01-30 21:51:10,288 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('192.168.1.18', 47629)
2026-01-30 21:51:13,491 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('192.168.1.18', 47708)
2026-01-30 21:51:16,696 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('192.168.1.18', 35357)
2026-01-30 21:51:17,833 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('192.168.1.18', 45920)
2026-01-30 21:51:17,835 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('192.168.1.18', 45920)
2026-01-30 21:51:18,140 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('192.168.1.18', 45964)
2026-01-30 21:51:18,141 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('192.168.1.18', 45964)
